,PostalCode,Borough,Neighborhood,Latitude,Longitude
0,M1B,Scarborough,"Rouge, Malvern",43.8049304,-79.1658374
1,M1C,Scarborough,"Highland Creek, Rouge Hill, Port Union",43.7901172,-79.1733344
2,M1E,Scarborough,"Guildwood, Morningside, West Hill",43.7552251,-79.1982293
3,M1G,Scarborough,Woburn,10.0,-79.2252908
4,M1H,Scarborough,Cedarbrae,43.75646655,-79.226692442588
5,M1J,Scarborough,Scarborough Village,43.7437422,-79.2116324
6,M1K,Scarborough,"East Birchmount Park, Ionview, Kennedy Park",43.7141672,-79.271109
7,M1L,Scarborough,"Clairlea, Golden Mile, Oakridge",43.7088231,-79.2959856
8,M1M,Scarborough,"Cliffcrest, Cliffside, Scarborough Village West",43.7219387,-79.2362324
9,M1N,Scarborough,"Birch Cliff, Cliffside West",43.70211215,-79.2600905301568
10,M1P,Scarborough,"Dorset Park, Scarborough Town Centre, Wexford Heights",43.7528467,-79.282067
11,M1R,Scarborough,"Maryvale, Wexford",43.7590508,-79.3102297
12,M1S,Scarborough,Agincourt,43.7853531,-79.2785494
13,M1T,Scarborough,"Clarks Corners, Sullivan, Tam O'Shanter",43.7964095,-79.2977951
14,M1V,Scarborough,"Agincourt North, L'Amoreaux East, Milliken, Steeles East",43.8080383,-79.2664391
15,M1W,Scarborough,L'Amoreaux West,43.799003,-79.3059669
16,M1X,Scarborough,Upper Rouge,43.8049304,-79.1658374
17,M2H,North York,Hillcrest Village,43.7996637,-79.3650189
18,M2J,North York,"Fairview, Henry Farm, Oriole",41.0434304,-73.7973552
19,M2K,North York,Bayview Village,43.7691966,-79.3766617
20,M2L,North York,"Silver Hills, York Mills",43.7612224,-79.3683818
21,M2M,North York,"Newtonbrook, Willowdale",43.7938863,-79.4256790230105
22,M2N,North York,Willowdale South,43.7615095,-79.4109234
23,M2P,North York,York Mills West,43.7440391,-79.406657
24,M2R,North York,Willowdale West,43.7615095,-79.4109234
25,M3A,North York,Parkwoods,43.7587999,-79.3201966
26,M3B,North York,Don Mills North,43.775347,-79.3459439
27,M3C,North York,"Flemingdon Park, Don Mills South",43.7184315,-79.333204
28,M3H,North York,"Bathurst Manor, Downsview North, Wilson Heights",43.76389295,-79.4563669371095
29,M3J,North York,"Northwood Park, York University",43.7541351,-79.50448
